,trip_id,passenger_id,pickup_lat,pickup_long,dropoff_lat,dropoff_long,actual_pickup_time,pickup_time,drop_time,Trip purpose
463,188725777,10382b5c69a7c71d73a6ab63090c9a46df4267c14aefbab333ea618bd63ddbbd,6.87004,79.8801,6.88497,79.8976,2019-11-05 08:55:00,2019-11-05 08:44:00,2019-11-05 09:53:00,education
464,188892826,10382b5c69a7c71d73a6ab63090c9a46df4267c14aefbab333ea618bd63ddbbd,6.86996,79.8801,6.8845,79.8967,2019-11-06 08:49:00,2019-11-06 08:35:00,2019-11-06 09:05:00,education
487,188528453,10dc2c52c9667baad789e7b6ef7b5c4733564ace923ae5ef76f88ced8ed62abb,6.82897,79.9687,6.88106,79.8764,2019-11-04 08:20:00,2019-11-04 08:05:00,2019-11-04 08:58:00,education
489,188889632,10dc2c52c9667baad789e7b6ef7b5c4733564ace923ae5ef76f88ced8ed62abb,6.82897,79.9687,6.88087,79.8764,2019-11-06 08:27:00,2019-11-06 08:19:00,2019-11-06 09:06:00,education
582,188523604,134da0e999a760c781d05bfe07e6a133b821fda8c5ce449d4e287e16c1eef52a,6.89472,79.9306,6.91258,79.8745,2019-11-04 07:55:00,2019-11-04 07:47:00,2019-11-04 08:37:00,education
583,188714932,134da0e999a760c781d05bfe07e6a133b821fda8c5ce449d4e287e16c1eef52a,6.89472,79.9306,6.91254,79.8748,2019-11-05 08:00:00,2019-11-05 07:50:00,2019-11-05 08:40:00,education
585,188885257,134da0e999a760c781d05bfe07e6a133b821fda8c5ce449d4e287e16c1eef52a,6.89472,79.9306,6.91257,79.8749,2019-11-06 08:07:00,2019-11-06 08:00:00,2019-11-06 08:40:00,education
587,189295927,134da0e999a760c781d05bfe07e6a133b821fda8c5ce449d4e287e16c1eef52a,6.89472,79.9306,6.91254,79.8746,2019-11-08 08:15:00,2019-11-08 08:02:00,2019-11-08 08:50:00,education
626,188713833,14f90a38fd4345e7749a14bb1ecc95c9c2c04ce9032cfd60e75e74abdc108beb,6.86627,79.8807,6.90577,79.8706,2019-11-05 07:49:00,2019-11-05 07:44:00,2019-11-05 08:19:00,education
627,189069238,14f90a38fd4345e7749a14bb1ecc95c9c2c04ce9032cfd60e75e74abdc108beb,6.86622,79.8808,6.90573,79.8705,2019-11-07 07:42:00,2019-11-07 07:36:00,2019-11-07 08:04:00,education
718,188714516,16eae953ca6825f7ae8e93748784a9a56adc4f00f6a4fe2c7ffce4a58b1aa80e,6.79461,79.8928,6.88083,79.8586,2019-11-05 07:55:00,2019-11-05 07:48:00,2019-11-05 08:35:00,education
719,188883674,16eae953ca6825f7ae8e93748784a9a56adc4f00f6a4fe2c7ffce4a58b1aa80e,6.79461,79.8928,6.88089,79.8588,2019-11-06 08:03:00,2019-11-06 07:53:00,2019-11-06 08:36:00,education
720,189071401,16eae953ca6825f7ae8e93748784a9a56adc4f00f6a4fe2c7ffce4a58b1aa80e,6.79461,79.8928,6.88087,79.859,2019-11-07 07:53:00,2019-11-07 07:45:00,2019-11-07 08:33:00,education
721,189293074,16eae953ca6825f7ae8e93748784a9a56adc4f00f6a4fe2c7ffce4a58b1aa80e,6.79461,79.8928,6.88092,79.8589,2019-11-08 08:02:00,2019-11-08 07:56:00,2019-11-08 08:39:00,education
753,188524578,18b919935f27241189e13fba88cd59383c02b5540934df0881320d0cb83372db,6.86523,79.9506,6.86738,79.8974,2019-11-04 08:17:00,2019-11-04 07:51:00,2019-11-04 08:51:00,education
754,188717001,18b919935f27241189e13fba88cd59383c02b5540934df0881320d0cb83372db,6.86568,79.9504,6.8677,79.8975,2019-11-05 08:07:00,2019-11-05 08:01:00,2019-11-05 08:42:00,education
755,188881859,18b919935f27241189e13fba88cd59383c02b5540934df0881320d0cb83372db,6.86592,79.9502,6.86738,79.8975,2019-11-06 07:52:00,2019-11-06 07:44:00,2019-11-06 08:23:00,education
756,189076678,18b919935f27241189e13fba88cd59383c02b5540934df0881320d0cb83372db,6.8657,79.9504,6.86738,79.8977,2019-11-07 08:17:00,2019-11-07 08:06:00,2019-11-07 08:44:00,education
757,189294871,18b919935f27241189e13fba88cd59383c02b5540934df0881320d0cb83372db,6.86592,79.9502,6.86741,79.8975,2019-11-08 08:09:00,2019-11-08 08:00:00,2019-11-08 08:36:00,education
791,188873827,1a27dd7b46b33be958e1d9dad31bc2ad3a373436f7044415691f8f3c96a6e60f,6.93399,79.8495,6.907,79.8562,2019-11-06 07:11:00,2019-11-06 07:01:00,2019-11-06 07:24:00,education
792,189062118,1a27dd7b46b33be958e1d9dad31bc2ad3a373436f7044415691f8f3c96a6e60f,6.93393,79.8496,6.90653,79.8563,2019-11-07 07:14:00,2019-11-07 07:08:00,2019-11-07 07:28:00,education
793,189275371,1a27dd7b46b33be958e1d9dad31bc2ad3a373436f7044415691f8f3c96a6e60f,6.93401,79.8495,6.90666,79.8563,2019-11-08 07:19:00,2019-11-08 07:05:00,2019-11-08 07:34:00,education
887,188524846,1d37f5d90417d78a22bacbc2dc484268055b5e4a8ff7318c6555bee280c8a028,6.89771,79.8548,6.88729,79.8772,2019-11-04 07:57:00,2019-11-04 07:52:00,2019-11-04 08:09:00,education
888,188714550,1d37f5d90417d78a22bacbc2dc484268055b5e4a8ff7318c6555bee280c8a028,6.89771,79.8548,6.88751,79.8771,2019-11-05 07:51:00,2019-11-05 07:48:00,2019-11-05 08:03:00,education
889,188884500,1d37f5d90417d78a22bacbc2dc484268055b5e4a8ff7318c6555bee280c8a028,6.89779,79.8548,6.88756,79.8771,2019-11-06 08:01:00,2019-11-06 07:57:00,2019-11-06 08:11:00,education
890,189070926,1d37f5d90417d78a22bacbc2dc484268055b5e4a8ff7318c6555bee280c8a028,6.89761,79.8548,6.888,79.8771,2019-11-07 07:48:00,2019-11-07 07:43:00,2019-11-07 08:01:00,education
891,189291246,1d37f5d90417d78a22bacbc2dc484268055b5e4a8ff7318c6555bee280c8a028,6.89761,79.8548,6.88726,79.8771,2019-11-08 07:57:00,2019-11-08 07:52:00,2019-11-08 08:11:00,education
952,188537993,1f78da2a88e7fcc18e19177bb6ad7cbe11409941631e58dd783d9f1ab9280a1a,6.85219,79.869,6.85943,79.8637,2019-11-04 09:03:00,2019-11-04 08:48:00,2019-11-04 09:09:00,education
954,188740681,1f78da2a88e7fcc18e19177bb6ad7cbe11409941631e58dd783d9f1ab9280a1a,6.85234,79.869,6.85939,79.8636,2019-11-05 10:42:00,2019-11-05 10:36:00,2019-11-05 10:47:00,education
965,188732286,1fbae00f6b92f27096979c72dda237de8eaa0442aaa8950eba9493b5f7b91234,6.87501,79.8801,6.86943,79.8777,2019-11-05 09:32:00,2019-11-05 09:28:00,2019-11-05 09:42:00,education
966,189097084,1fbae00f6b92f27096979c72dda237de8eaa0442aaa8950eba9493b5f7b91234,6.87499,79.88,6.87027,79.878,2019-11-07 09:57:00,2019-11-07 09:52:00,2019-11-07 10:07:00,education
968,189323803,1fbae00f6b92f27096979c72dda237de8eaa0442aaa8950eba9493b5f7b91234,6.87499,79.8802,6.86942,79.8776,2019-11-08 09:54:00,2019-11-08 09:43:00,2019-11-08 09:59:00,education
1001,188886967,20d6d1e7241576f34d7d5ae274f7f5bfe4bad57e0dfed11292cf64fa7672cb0e,6.88613,79.8625,6.91496,79.8773,2019-11-06 08:13:00,2019-11-06 08:09:00,2019-11-06 08:43:00,education
1003,189074088,20d6d1e7241576f34d7d5ae274f7f5bfe4bad57e0dfed11292cf64fa7672cb0e,6.88613,79.8625,6.91516,79.8772,2019-11-07 08:02:00,2019-11-07 07:59:00,2019-11-07 08:23:00,education
1015,188521423,21165fb2e2d4bdbe95e2211f11b1287a56d8b4b5a53069dd757e0394319f6f6e,6.89461,79.8736,6.8981,79.875,2019-11-04 07:46:00,2019-11-04 07:38:00,2019-11-04 07:50:00,education
1017,188718266,21165fb2e2d4bdbe95e2211f11b1287a56d8b4b5a53069dd757e0394319f6f6e,6.89404,79.8735,6.89812,79.8749,2019-11-05 08:16:00,2019-11-05 08:07:00,2019-11-05 08:18:00,education
1019,188886839,21165fb2e2d4bdbe95e2211f11b1287a56d8b4b5a53069dd757e0394319f6f6e,6.89432,79.8737,6.89812,79.875,2019-11-06 08:19:00,2019-11-06 08:07:00,2019-11-06 08:23:00,education
1020,189087254,21165fb2e2d4bdbe95e2211f11b1287a56d8b4b5a53069dd757e0394319f6f6e,6.89461,79.8736,6.89815,79.8749,2019-11-07 08:56:00,2019-11-07 08:47:00,2019-11-07 09:02:00,education
1022,189318351,21165fb2e2d4bdbe95e2211f11b1287a56d8b4b5a53069dd757e0394319f6f6e,6.89461,79.8736,6.89769,79.8753,2019-11-08 09:24:00,2019-11-08 09:13:00,2019-11-08 09:41:00,education
1077,188510483,237d72ae7aaba371bdb69e97100ffef52d7010eb0ed944c112f539d58d3f7857,6.90701,79.8554,6.90944,79.87,2019-11-04 07:08:00,2019-11-04 06:53:00,2019-11-04 07:18:00,education
1078,188874199,237d72ae7aaba371bdb69e97100ffef52d7010eb0ed944c112f539d58d3f7857,6.90696,79.8552,6.90948,79.8698,2019-11-06 07:10:00,2019-11-06 07:03:00,2019-11-06 07:21:00,education
1091,188517868,2383ff76ffc568431920ee8e8ebb78896b539b0fed282bf637789936783c2a53,6.89634,79.8602,6.87041,79.9027,2019-11-04 07:41:00,2019-11-04 07:23:00,2019-11-04 08:12:00,education
1092,188712651,2383ff76ffc568431920ee8e8ebb78896b539b0fed282bf637789936783c2a53,6.89635,79.8602,6.87041,79.9027,2019-11-05 07:47:00,2019-11-05 07:38:00,2019-11-05 08:23:00,education
1093,188884234,2383ff76ffc568431920ee8e8ebb78896b539b0fed282bf637789936783c2a53,6.8964,79.8603,6.8704,79.9027,2019-11-06 07:58:00,2019-11-06 07:55:00,2019-11-06 08:23:00,education
1094,189070099,2383ff76ffc568431920ee8e8ebb78896b539b0fed282bf637789936783c2a53,6.89608,79.8603,6.8699,79.9033,2019-11-07 07:46:00,2019-11-07 07:39:00,2019-11-07 08:20:00,education
1121,188540958,245f5d5207a57157a71b8b2a600c11c4895065bfdb93e444652ad04b79a47caa,6.90056,79.8797,6.91255,79.8743,2019-11-04 09:16:00,2019-11-04 09:06:00,2019-11-04 09:25:00,education
1124,188715873,245f5d5207a57157a71b8b2a600c11c4895065bfdb93e444652ad04b79a47caa,6.90056,79.8797,6.91252,79.8744,2019-11-05 08:07:00,2019-11-05 07:55:00,2019-11-05 08:16:00,education
1125,188890065,245f5d5207a57157a71b8b2a600c11c4895065bfdb93e444652ad04b79a47caa,6.90056,79.8797,6.91255,79.8743,2019-11-06 08:32:00,2019-11-06 08:21:00,2019-11-06 08:44:00,education
1134,188512764,24789b2e278d995f335f0690f596b155fbae76c63bfdbe6e6678656a0fad84ff,6.91703,79.8786,6.90641,79.8777,2019-11-04 07:07:00,2019-11-04 07:01:00,2019-11-04 07:21:00,education
1135,188705296,24789b2e278d995f335f0690f596b155fbae76c63bfdbe6e6678656a0fad84ff,6.91696,79.8786,6.90637,79.8776,2019-11-05 07:09:00,2019-11-05 06:58:00,2019-11-05 07:17:00,education
1136,189060335,24789b2e278d995f335f0690f596b155fbae76c63bfdbe6e6678656a0fad84ff,6.91695,79.8786,6.90637,79.8778,2019-11-07 07:12:00,2019-11-07 07:01:00,2019-11-07 07:23:00,education
1168,188722408,2577ddf66513c29e8b0aced2395caca25d2e86142998243221326d3622b7c59e,6.87117,79.8719,6.88466,79.8582,2019-11-05 08:43:00,2019-11-05 08:26:00,2019-11-05 08:44:00,education
1169,188892745,2577ddf66513c29e8b0aced2395caca25d2e86142998243221326d3622b7c59e,6.87117,79.8719,6.88487,79.8583,2019-11-06 08:42:00,2019-11-06 08:34:00,2019-11-06 08:52:00,education
1170,189086930,2577ddf66513c29e8b0aced2395caca25d2e86142998243221326d3622b7c59e,6.87129,79.8716,6.8847,79.8583,2019-11-07 09:09:00,2019-11-07 08:44:00,2019-11-07 09:19:00,education
1179,189087085,25dacefd9deedceddc6b70903fddc9f34935bae34bfd5369a2d4b77cf3d400b3,6.88446,79.8821,6.86764,79.8854,2019-11-07 08:53:00,2019-11-07 08:45:00,2019-11-07 09:03:00,education
1180,189309560,25dacefd9deedceddc6b70903fddc9f34935bae34bfd5369a2d4b77cf3d400b3,6.88446,79.882,6.86729,79.885,2019-11-08 08:42:00,2019-11-08 08:38:00,2019-11-08 08:54:00,education
1214,188726129,26bd664aa17559f1261f9a3a0ceee2e00dc65e467af0c40fd7884e0fb967f684,6.82202,79.8741,6.88869,79.8593,2019-11-05 08:50:00,2019-11-05 08:46:00,2019-11-05 09:14:00,education
1216,189089301,26bd664aa17559f1261f9a3a0ceee2e00dc65e467af0c40fd7884e0fb967f684,6.82202,79.8741,6.88873,79.859,2019-11-07 09:01:00,2019-11-07 08:58:00,2019-11-07 09:22:00,education
1239,188711817,27290260094518dab563351cf2e818fd6b1953026bec3b3c9e4ea7c77d8413d7,6.90137,79.9209,6.88284,79.8866,2019-11-05 07:43:00,2019-11-05 07:33:00,2019-11-05 08:26:00,education
1240,188883034,27290260094518dab563351cf2e818fd6b1953026bec3b3c9e4ea7c77d8413d7,6.90135,79.9209,6.88285,79.8865,2019-11-06 07:55:00,2019-11-06 07:50:00,2019-11-06 08:32:00,education
1267,188541645,285e703ad342d6c227b1e9d3c10d160992264b8a68fc40c8425a328712873374,6.92842,79.8646,6.90561,79.8963,2019-11-04 09:23:00,2019-11-04 09:10:00,2019-11-04 09:40:00,education
